
Scoring long reads

  254 reads (486,969 bp)
  487 reads (971,087 bp)
  732 reads (1,457,895 bp)
  960 reads (1,944,155 bp)
  1,170 reads (2,428,977 bp)
  1,344 reads (2,913,920 bp)
  65,041 reads (186,167,654 bp)
  65,206 reads (186,652,286 bp)
  65,383 reads (187,136,560 bp)
  65,544 reads (187,625,811 bp)
  65,704 reads (188,111,460 bp)
  65,865 reads (188,597,200 bp)
  66,024 reads (189,083,913 bp)
  66,203 reads (189,569,965 bp)
  66,360 reads (190,055,001 bp)
  66,536 reads (190,539,691 bp)
  66,692 reads (191,027,081 bp)
  66,873 reads (191,511,433 bp)
  67,044 reads (192,001,953 bp)
  67,216 reads (192,487,093 bp)
  67,377 reads (192,972,105 bp)
  67,521 reads (193,456,831 bp)
  67,688 reads (193,941,082 bp)
  67,859 reads (194,425,263 bp)
  68,028 reads (194,909,234 bp)
  68,212 reads (195,394,368 bp)
  68,382 reads (195,878,554 bp)
  68,554 reads (196,365,008 bp)
  68,701 reads (196,850,403 bp)
  68,896 reads (197,334,941 bp)
  69,080 reads (197,823,286 bp)
  69,260 reads (198,311,458 bp)
  69,421 reads (198,798,260 bp)
  69,603 reads (199,283,280 bp)
  69,775 reads (199,768,047 bp)
  69,930 reads (200,254,964 bp)
  70,112 reads (200,741,414 bp)
  70,286 reads (201,226,915 bp)
  70,454 reads (201,715,542 bp)
  70,619 reads (202,199,663 bp)
  70,763 reads (202,684,314 bp)
  70,930 reads (203,180,450 bp)
  71,089 reads (203,670,409 bp)
  71,280 reads (204,154,456 bp)
  71,462 reads (204,639,479 bp)
  71,618 reads (205,124,909 bp)
  71,757 reads (205,609,216 bp)
  71,936 reads (206,095,325 bp)
  72,095 reads (206,580,006 bp)
  72,271 reads (207,063,866 bp)
  72,435 reads (207,549,263 bp)
  72,610 reads (208,035,002 bp)
  72,771 reads (208,548,043 bp)
  72,942 reads (209,032,585 bp)
  73,099 reads (209,516,680 bp)
  73,246 reads (210,006,810 bp)
  73,410 reads (210,499,991 bp)
  73,582 reads (210,984,352 bp)
  73,752 reads (211,470,134 bp)
  73,939 reads (211,956,434 bp)
  74,102 reads (212,440,201 bp)
  74,256 reads (212,926,797 bp)
  74,417 reads (213,411,324 bp)
  74,569 reads (213,901,508 bp)
  74,763 reads (214,386,227 bp)
  74,933 reads (214,871,235 bp)
  75,110 reads (215,361,347 bp)
  75,301 reads (215,845,749 bp)
  75,474 reads (216,332,915 bp)
  75,645 reads (216,821,792 bp)
  75,829 reads (217,309,809 bp)
  76,000 reads (217,794,290 bp)
  76,180 reads (218,279,195 bp)
  76,354 reads (218,763,584 bp)
  76,529 reads (219,247,781 bp)
  76,700 reads (219,732,509 bp)
  76,853 reads (220,217,356 bp)
  77,018 reads (220,707,216 bp)
  77,196 reads (221,193,328 bp)
  77,378 reads (221,677,835 bp)
  77,547 reads (222,161,948 bp)
  77,725 reads (222,649,885 bp)
  77,918 reads (223,133,688 bp)
  78,084 reads (223,617,542 bp)
  78,264 reads (224,107,513 bp)
  78,438 reads (224,592,834 bp)
  78,587 reads (225,084,326 bp)
  78,765 reads (225,584,048 bp)
  78,915 reads (226,076,646 bp)
  79,110 reads (226,562,237 bp)
  79,263 reads (227,057,046 bp)
  79,424 reads (227,543,631 bp)
  79,618 reads (228,030,857 bp)
  79,797 reads (228,515,236 bp)
  79,955 reads (229,000,226 bp)
  80,133 reads (229,489,659 bp)
  80,322 reads (229,973,625 bp)
  80,487 reads (230,459,724 bp)
  80,660 reads (230,947,822 bp)
  80,826 reads (231,432,826 bp)
  80,995 reads (231,918,997 bp)
  81,179 reads (232,403,153 bp)
  81,361 reads (232,895,378 bp)
  81,526 reads (233,380,055 bp)
  81,704 reads (233,866,334 bp)
  81,867 reads (234,352,306 bp)
  82,036 reads (234,841,466 bp)
  82,197 reads (235,325,756 bp)
  82,375 reads (235,809,979 bp)
  82,553 reads (236,294,355 bp)
  82,703 reads (236,782,144 bp)
  82,856 reads (237,267,682 bp)
  83,031 reads (237,752,846 bp)
  83,199 reads (238,237,025 bp)
  83,370 reads (238,723,538 bp)
  83,527 reads (239,209,597 bp)
  83,705 reads (239,694,864 bp)
  83,868 reads (240,180,989 bp)
  84,039 reads (240,671,620 bp)
  84,196 reads (241,155,869 bp)
  84,371 reads (241,642,759 bp)
  84,541 reads (242,129,696 bp)
  84,716 reads (242,616,065 bp)
  84,884 reads (243,103,971 bp)
  85,037 reads (243,589,236 bp)
  85,198 reads (244,072,961 bp)
  85,369 reads (244,557,214 bp)
  85,550 reads (245,041,545 bp)
  85,701 reads (245,525,296 bp)
  85,862 reads (246,011,952 bp)
  86,041 reads (246,497,553 bp)
  86,198 reads (246,981,438 bp)
  86,357 reads (247,466,938 bp)
  86,514 reads (247,950,639 bp)
  86,685 reads (248,434,859 bp)
  86,834 reads (248,918,501 bp)
  87,004 reads (249,404,839 bp)
  87,163 reads (249,892,275 bp)
  87,319 reads (250,377,772 bp)
  87,492 reads (250,864,482 bp)
  87,688 reads (251,348,748 bp)
  87,835 reads (251,834,021 bp)
  88,010 reads (252,319,786 bp)
  88,190 reads (252,804,311 bp)
  88,366 reads (253,289,017 bp)
  88,540 reads (253,779,718 bp)
  88,719 reads (254,264,528 bp)
  88,885 reads (254,750,164 bp)
  89,064 reads (255,234,508 bp)
  89,247 reads (255,719,603 bp)
  89,414 reads (256,204,639 bp)
  89,575 reads (256,689,516 bp)
  89,756 reads (257,176,094 bp)
  89,926 reads (257,660,915 bp)
  90,110 reads (258,146,870 bp)
  90,305 reads (258,652,388 bp)
  90,469 reads (259,137,059 bp)
  90,647 reads (259,621,577 bp)
  90,821 reads (260,111,371 bp)
  91,002 reads (260,597,758 bp)
  91,197 reads (261,083,648 bp)
  91,371 reads (261,569,107 bp)
  91,569 reads (262,054,539 bp)
  91,742 reads (262,540,762 bp)
  91,922 reads (263,025,212 bp)
  92,104 reads (263,515,119 bp)
  92,259 reads (264,007,299 bp)
  92,438 reads (264,494,439 bp)
  92,614 reads (264,979,852 bp)
  92,797 reads (265,463,511 bp)
  92,984 reads (265,948,769 bp)
  93,140 reads (266,432,655 bp)
  93,311 reads (266,917,948 bp)
  93,492 reads (267,407,456 bp)
  93,658 reads (267,892,140 bp)
  93,827 reads (268,377,642 bp)
  94,007 reads (268,865,374 bp)
  94,188 reads (269,349,032 bp)
  94,358 reads (269,837,450 bp)
  94,534 reads (270,330,189 bp)
  94,701 reads (270,814,779 bp)
  94,844 reads (271,316,154 bp)
  95,032 reads (271,800,616 bp)
  95,213 reads (272,286,595 bp)
  95,375 reads (272,773,946 bp)
  95,548 reads (273,258,502 bp)
  95,726 reads (273,745,794 bp)
  95,912 reads (274,233,787 bp)
  96,080 reads (274,719,117 bp)
  96,238 reads (275,216,185 bp)
  96,396 reads (275,700,048 bp)
  96,561 reads (276,185,285 bp)
  96,738 reads (276,674,051 bp)
  96,898 reads (277,160,803 bp)
  97,065 reads (277,644,714 bp)
  97,234 reads (278,128,594 bp)
  97,404 reads (278,617,717 bp)
  97,550 reads (279,102,182 bp)
  97,728 reads (279,586,080 bp)
  97,902 reads (280,070,115 bp)
  98,070 reads (280,555,570 bp)
  98,239 reads (281,044,319 bp)
  98,396 reads (281,529,067 bp)
  98,570 reads (282,014,303 bp)
  98,748 reads (282,498,655 bp)
  98,909 reads (282,998,422 bp)
  99,066 reads (283,486,622 bp)
  99,214 reads (283,974,973 bp)
  99,382 reads (284,461,677 bp)
  99,552 reads (284,951,451 bp)
  99,726 reads (285,440,346 bp)
  99,885 reads (285,924,754 bp)
  100,045 reads (286,410,897 bp)
  100,225 reads (286,897,800 bp)
  100,400 reads (287,381,590 bp)
  100,584 reads (287,866,262 bp)
  100,795 reads (288,352,128 bp)
  100,971 reads (288,838,091 bp)
  101,128 reads (289,322,336 bp)
  101,304 reads (289,807,422 bp)
  101,472 reads (290,296,250 bp)
  101,651 reads (290,787,098 bp)
  101,820 reads (291,270,964 bp)
  101,993 reads (291,755,203 bp)
  102,158 reads (292,239,740 bp)
  102,315 reads (292,725,521 bp)
  102,478 reads (293,209,591 bp)
  102,647 reads (293,693,656 bp)
  102,810 reads (294,177,928 bp)
  102,973 reads (294,662,856 bp)
  103,129 reads (295,146,944 bp)
  103,288 reads (295,633,309 bp)
  103,462 reads (296,118,786 bp)
  103,638 reads (296,603,968 bp)
  103,804 reads (297,088,068 bp)
  103,972 reads (297,573,462 bp)
  104,152 reads (298,061,285 bp)
  104,331 reads (298,546,258 bp)
  104,527 reads (299,031,678 bp)
  104,698 reads (299,516,177 bp)
  104,858 reads (300,004,723 bp)
  105,014 reads (300,488,524 bp)
  105,189 reads (300,975,152 bp)
  105,347 reads (301,464,496 bp)
  105,539 reads (301,958,587 bp)
  105,702 reads (302,442,383 bp)
  105,869 reads (302,926,658 bp)
  106,033 reads (303,411,489 bp)
  106,186 reads (303,896,016 bp)
  106,339 reads (304,381,688 bp)
  106,516 reads (304,866,227 bp)
  106,691 reads (305,357,392 bp)
  106,869 reads (305,842,369 bp)
  107,039 reads (306,332,401 bp)
  107,206 reads (306,818,120 bp)
  107,369 reads (307,304,530 bp)
  107,552 reads (307,792,788 bp)
  107,699 reads (308,277,193 bp)
  107,868 reads (308,763,734 bp)
  108,046 reads (309,249,642 bp)
  108,214 reads (309,735,764 bp)
  108,391 reads (310,220,046 bp)
  108,569 reads (310,704,149 bp)
  108,719 reads (311,188,901 bp)
  108,876 reads (311,672,680 bp)
  109,042 reads (312,164,894 bp)
  109,198 reads (312,650,339 bp)
  109,362 reads (313,139,217 bp)
  109,553 reads (313,624,089 bp)
  109,713 reads (314,109,121 bp)
  109,886 reads (314,592,956 bp)
  110,048 reads (315,085,937 bp)
  110,222 reads (315,572,822 bp)
  110,387 reads (316,058,316 bp)
  110,573 reads (316,545,860 bp)
  110,751 reads (317,035,975 bp)
  110,923 reads (317,521,356 bp)
  111,068 reads (318,007,082 bp)
  111,232 reads (318,498,161 bp)
  111,410 reads (318,989,249 bp)
  111,579 reads (319,473,495 bp)
  111,766 reads (319,958,283 bp)
  111,946 reads (320,442,257 bp)
  112,110 reads (320,930,785 bp)
  112,276 reads (321,420,636 bp)
  112,453 reads (321,904,369 bp)
  112,626 reads (322,391,741 bp)
  112,779 reads (322,881,714 bp)
  112,949 reads (323,366,799 bp)
  113,119 reads (323,851,489 bp)
  113,296 reads (324,336,091 bp)
  113,452 reads (324,823,765 bp)
  113,623 reads (325,307,717 bp)
  113,789 reads (325,794,692 bp)
  113,957 reads (326,279,475 bp)
  114,127 reads (326,763,652 bp)
  114,309 reads (327,249,199 bp)
  114,480 reads (327,738,303 bp)
  114,650 reads (328,223,160 bp)
  114,820 reads (328,709,005 bp)
  114,987 reads (329,193,321 bp)
  115,170 reads (329,680,173 bp)
  115,336 reads (330,166,902 bp)
  115,514 reads (330,651,015 bp)
  115,678 reads (331,136,189 bp)
  115,837 reads (331,620,200 bp)
  115,988 reads (332,104,215 bp)
  116,163 reads (332,589,141 bp)
  116,329 reads (333,075,951 bp)
  116,493 reads (333,560,658 bp)
  116,653 reads (334,046,646 bp)
  116,809 reads (334,531,767 bp)
  116,987 reads (335,019,212 bp)
  117,159 reads (335,503,562 bp)
  117,315 reads (335,989,509 bp)
  117,459 reads (336,474,444 bp)
  117,623 reads (336,958,424 bp)
  117,802 reads (337,445,381 bp)
  117,976 reads (337,931,701 bp)
  118,132 reads (338,418,019 bp)
  118,295 reads (338,904,074 bp)
  118,461 reads (339,389,791 bp)
  118,631 reads (339,875,496 bp)
  118,811 reads (340,361,017 bp)
  118,968 reads (340,849,986 bp)
  119,142 reads (341,333,779 bp)
  119,320 reads (341,817,551 bp)
  119,502 reads (342,301,782 bp)
  119,656 reads (342,785,547 bp)
  119,817 reads (343,274,101 bp)
  119,993 reads (343,758,233 bp)
  120,162 reads (344,243,162 bp)
  120,343 reads (344,731,586 bp)
  120,508 reads (345,218,612 bp)
  120,686 reads (345,703,869 bp)
  120,863 reads (346,188,533 bp)
  121,013 reads (346,674,132 bp)
  121,178 reads (347,158,448 bp)
  121,337 reads (347,642,672 bp)
  121,489 reads (348,130,779 bp)
  121,654 reads (348,618,371 bp)
  121,884 reads (349,103,382 bp)
  122,097 reads (349,589,397 bp)
  122,333 reads (350,073,259 bp)
  122,511 reads (350,557,695 bp)
  122,683 reads (351,043,510 bp)
  122,845 reads (351,531,454 bp)
  123,013 reads (352,015,970 bp)
  123,175 reads (352,501,341 bp)
  123,338 reads (352,985,951 bp)
  123,511 reads (353,470,440 bp)
  123,676 reads (353,954,839 bp)
  123,838 reads (354,440,067 bp)
  123,988 reads (354,925,682 bp)
  124,164 reads (355,410,804 bp)
  124,312 reads (355,898,533 bp)
  124,500 reads (356,385,343 bp)
  124,661 reads (356,870,595 bp)
  124,818 reads (357,357,195 bp)
  124,983 reads (357,841,123 bp)
  125,165 reads (358,327,247 bp)
  125,332 reads (358,816,001 bp)
  125,504 reads (359,299,824 bp)
  125,664 reads (359,786,866 bp)
  125,815 reads (360,274,300 bp)
  125,976 reads (360,759,246 bp)
  126,157 reads (361,242,936 bp)
  126,335 reads (361,726,838 bp)
  126,492 reads (362,211,437 bp)
  126,663 reads (362,695,497 bp)
  126,828 reads (363,180,321 bp)
  126,991 reads (363,665,809 bp)
  127,170 reads (364,149,948 bp)
  127,342 reads (364,635,514 bp)
  127,516 reads (365,120,024 bp)
  127,697 reads (365,603,819 bp)
  127,874 reads (366,090,447 bp)
  128,024 reads (366,575,241 bp)
  128,192 reads (367,060,956 bp)
  128,349 reads (367,545,980 bp)
  128,543 reads (368,029,807 bp)
  128,711 reads (368,516,801 bp)
  128,867 reads (369,002,696 bp)
  129,032 reads (369,495,879 bp)
