
Scoring long reads

  371 reads (483,942 bp)
  693 reads (967,855 bp)
  925 reads (1,451,626 bp)
  1,117 reads (1,936,664 bp)
  1,337 reads (2,423,771 bp)
  73,077 reads (200,945,529 bp)
  73,246 reads (201,429,297 bp)
  73,431 reads (201,913,489 bp)
  73,584 reads (202,406,440 bp)
  73,742 reads (202,894,463 bp)
  73,890 reads (203,384,121 bp)
  74,032 reads (203,868,499 bp)
  74,199 reads (204,352,712 bp)
  74,366 reads (204,842,342 bp)
  74,515 reads (205,326,894 bp)
  74,696 reads (205,811,763 bp)
  74,846 reads (206,298,839 bp)
  75,025 reads (206,782,840 bp)
  75,200 reads (207,268,041 bp)
  75,366 reads (207,761,569 bp)
  75,545 reads (208,245,552 bp)
  75,701 reads (208,731,447 bp)
  75,874 reads (209,216,665 bp)
  76,028 reads (209,702,980 bp)
  76,193 reads (210,188,515 bp)
  76,353 reads (210,678,700 bp)
  76,493 reads (211,168,437 bp)
  76,678 reads (211,653,029 bp)
  76,848 reads (212,136,758 bp)
  77,035 reads (212,621,255 bp)
  77,165 reads (213,106,607 bp)
  77,329 reads (213,592,413 bp)
  77,493 reads (214,079,599 bp)
  77,673 reads (214,566,854 bp)
  77,858 reads (215,057,667 bp)
  78,041 reads (215,541,748 bp)
  78,193 reads (216,026,450 bp)
  78,349 reads (216,514,376 bp)
  78,533 reads (216,999,183 bp)
  78,711 reads (217,486,963 bp)
  78,873 reads (217,970,701 bp)
  79,035 reads (218,457,955 bp)
  79,210 reads (218,941,667 bp)
  79,383 reads (219,426,906 bp)
  79,552 reads (219,913,329 bp)
  79,714 reads (220,401,538 bp)
  79,896 reads (220,886,117 bp)
  80,047 reads (221,370,867 bp)
  80,192 reads (221,856,090 bp)
  80,355 reads (222,339,893 bp)
  80,540 reads (222,826,205 bp)
  80,691 reads (223,314,714 bp)
  80,877 reads (223,805,234 bp)
  81,056 reads (224,289,578 bp)
  81,242 reads (224,776,250 bp)
  81,391 reads (225,274,437 bp)
  81,571 reads (225,763,574 bp)
  81,746 reads (226,248,437 bp)
  81,921 reads (226,734,066 bp)
  82,103 reads (227,221,239 bp)
  82,269 reads (227,710,917 bp)
  82,441 reads (228,196,836 bp)
  82,633 reads (228,683,763 bp)
  82,793 reads (229,168,006 bp)
  82,956 reads (229,661,625 bp)
  83,136 reads (230,151,521 bp)
  83,297 reads (230,636,237 bp)
  83,493 reads (231,121,657 bp)
  83,648 reads (231,610,374 bp)
  83,807 reads (232,098,654 bp)
  83,963 reads (232,584,399 bp)
  84,142 reads (233,068,611 bp)
  84,330 reads (233,552,901 bp)
  84,508 reads (234,037,047 bp)
  84,669 reads (234,530,009 bp)
  84,848 reads (235,014,226 bp)
  85,004 reads (235,499,465 bp)
  85,174 reads (235,984,246 bp)
  85,351 reads (236,470,734 bp)
  85,514 reads (236,954,491 bp)
  85,660 reads (237,438,941 bp)
  85,842 reads (237,925,991 bp)
  86,011 reads (238,417,521 bp)
  86,156 reads (238,904,920 bp)
  86,316 reads (239,393,191 bp)
  86,472 reads (239,881,234 bp)
  86,632 reads (240,365,723 bp)
  86,813 reads (240,852,566 bp)
  86,985 reads (241,339,546 bp)
  87,141 reads (241,823,715 bp)
  87,337 reads (242,309,846 bp)
  87,509 reads (242,794,261 bp)
  87,659 reads (243,282,799 bp)
  87,835 reads (243,768,800 bp)
  88,028 reads (244,256,470 bp)
  88,205 reads (244,747,127 bp)
  88,400 reads (245,236,973 bp)
  88,605 reads (245,720,883 bp)
  88,784 reads (246,216,757 bp)
  88,969 reads (246,701,186 bp)
  89,168 reads (247,185,397 bp)
  89,373 reads (247,669,559 bp)
  89,570 reads (248,154,314 bp)
  89,744 reads (248,640,591 bp)
  89,936 reads (249,131,814 bp)
  90,143 reads (249,625,222 bp)
  90,338 reads (250,109,745 bp)
  90,528 reads (250,597,501 bp)
  90,696 reads (251,081,428 bp)
  90,869 reads (251,569,486 bp)
  91,062 reads (252,053,767 bp)
  91,238 reads (252,538,040 bp)
  91,415 reads (253,022,008 bp)
  91,583 reads (253,509,643 bp)
  91,760 reads (254,000,627 bp)
  91,933 reads (254,486,404 bp)
  92,092 reads (254,973,547 bp)
  92,274 reads (255,457,603 bp)
  92,432 reads (255,950,324 bp)
  92,600 reads (256,434,705 bp)
  92,755 reads (256,920,071 bp)
  92,925 reads (257,404,992 bp)
  93,080 reads (257,889,242 bp)
  93,243 reads (258,383,407 bp)
  93,423 reads (258,867,230 bp)
  93,560 reads (259,350,870 bp)
  93,722 reads (259,842,284 bp)
  93,895 reads (260,328,451 bp)
  94,049 reads (260,827,906 bp)
  94,226 reads (261,313,210 bp)
  94,391 reads (261,797,443 bp)
  94,564 reads (262,281,342 bp)
  94,743 reads (262,771,151 bp)
  94,919 reads (263,257,652 bp)
  95,104 reads (263,741,428 bp)
  95,285 reads (264,226,195 bp)
  95,478 reads (264,710,543 bp)
  95,637 reads (265,198,158 bp)
  95,819 reads (265,684,089 bp)
