
Scoring long reads

  213 reads (485,345 bp)
  417 reads (972,241 bp)
  583 reads (1,462,064 bp)
  732 reads (1,946,198 bp)
  868 reads (2,431,285 bp)
  1,001 reads (2,926,051 bp)
  1,139 reads (3,410,595 bp)
  49,855 reads (183,723,702 bp)
  49,997 reads (184,209,158 bp)
  50,115 reads (184,694,368 bp)
  50,245 reads (185,178,030 bp)
  50,371 reads (185,665,459 bp)
  50,527 reads (186,150,702 bp)
  50,658 reads (186,637,437 bp)
  50,777 reads (187,121,902 bp)
  50,900 reads (187,609,993 bp)
  51,008 reads (188,094,769 bp)
  51,136 reads (188,579,345 bp)
  51,271 reads (189,063,367 bp)
  51,398 reads (189,547,400 bp)
  51,520 reads (190,032,075 bp)
  51,650 reads (190,516,959 bp)
  51,788 reads (191,002,676 bp)
  51,919 reads (191,487,879 bp)
  52,036 reads (191,974,219 bp)
  52,162 reads (192,459,333 bp)
  52,267 reads (192,944,122 bp)
  52,392 reads (193,427,761 bp)
  52,516 reads (193,917,309 bp)
  52,639 reads (194,404,870 bp)
  52,771 reads (194,889,915 bp)
  52,893 reads (195,375,326 bp)
  53,025 reads (195,861,771 bp)
  53,143 reads (196,348,520 bp)
  53,267 reads (196,843,585 bp)
  53,402 reads (197,351,528 bp)
  53,535 reads (197,836,484 bp)
  53,650 reads (198,321,690 bp)
  53,777 reads (198,805,890 bp)
  53,892 reads (199,304,085 bp)
  54,011 reads (199,795,185 bp)
  54,141 reads (200,280,639 bp)
  54,274 reads (200,772,167 bp)
  54,416 reads (201,259,089 bp)
  54,530 reads (201,745,769 bp)
  54,656 reads (202,230,313 bp)
  54,783 reads (202,715,264 bp)
  54,913 reads (203,200,595 bp)
  55,063 reads (203,702,709 bp)
  55,198 reads (204,186,604 bp)
  55,317 reads (204,680,876 bp)
  55,459 reads (205,165,131 bp)
  55,583 reads (205,653,207 bp)
  55,718 reads (206,144,890 bp)
  55,849 reads (206,629,408 bp)
  55,981 reads (207,117,883 bp)
  56,110 reads (207,604,252 bp)
  56,237 reads (208,088,753 bp)
  56,372 reads (208,572,508 bp)
  56,507 reads (209,058,818 bp)
  56,631 reads (209,543,207 bp)
  56,737 reads (210,028,037 bp)
  56,859 reads (210,527,680 bp)
  56,998 reads (211,014,016 bp)
  57,112 reads (211,499,116 bp)
  57,249 reads (211,982,847 bp)
  57,395 reads (212,472,803 bp)
  57,531 reads (212,958,218 bp)
  57,648 reads (213,454,283 bp)
  57,802 reads (213,941,271 bp)
  57,924 reads (214,426,807 bp)
  58,046 reads (214,910,525 bp)
  58,180 reads (215,406,432 bp)
  58,300 reads (215,896,509 bp)
  58,454 reads (216,380,764 bp)
  58,588 reads (216,866,197 bp)
  58,699 reads (217,350,209 bp)
  58,832 reads (217,836,816 bp)
  58,970 reads (218,320,593 bp)
  59,111 reads (218,806,525 bp)
  59,231 reads (219,290,768 bp)
  59,344 reads (219,778,984 bp)
  59,464 reads (220,265,763 bp)
  59,584 reads (220,752,589 bp)
  59,727 reads (221,238,064 bp)
  59,872 reads (221,722,113 bp)
  59,990 reads (222,207,608 bp)
  60,138 reads (222,693,055 bp)
  60,260 reads (223,186,121 bp)
  60,400 reads (223,673,225 bp)
  60,534 reads (224,157,209 bp)
  60,647 reads (224,641,918 bp)
  60,771 reads (225,126,129 bp)
  60,907 reads (225,610,859 bp)
  61,035 reads (226,097,229 bp)
  61,154 reads (226,591,916 bp)
  61,274 reads (227,076,801 bp)
  61,406 reads (227,564,798 bp)
  61,530 reads (228,049,858 bp)
  61,669 reads (228,533,644 bp)
  61,786 reads (229,018,695 bp)
  61,932 reads (229,503,706 bp)
  62,059 reads (229,988,805 bp)
  62,177 reads (230,478,949 bp)
  62,312 reads (230,966,938 bp)
  62,456 reads (231,451,209 bp)
  62,582 reads (231,935,390 bp)
  62,721 reads (232,421,758 bp)
  62,864 reads (232,907,443 bp)
  62,994 reads (233,392,871 bp)
  63,118 reads (233,877,091 bp)
  63,274 reads (234,360,772 bp)
  63,414 reads (234,851,584 bp)
  63,551 reads (235,340,097 bp)
  63,674 reads (235,829,749 bp)
  63,826 reads (236,314,843 bp)
  63,965 reads (236,801,811 bp)
  64,113 reads (237,287,879 bp)
  64,239 reads (237,773,054 bp)
  64,371 reads (238,256,686 bp)
  64,514 reads (238,742,809 bp)
  64,651 reads (239,241,498 bp)
  64,775 reads (239,732,731 bp)
  64,897 reads (240,217,219 bp)
  65,038 reads (240,704,122 bp)
  65,178 reads (241,188,993 bp)
  65,299 reads (241,675,253 bp)
  65,418 reads (242,160,310 bp)
  65,538 reads (242,645,041 bp)
  65,668 reads (243,132,051 bp)
  65,788 reads (243,616,700 bp)
  65,913 reads (244,112,330 bp)
  66,037 reads (244,596,440 bp)
  66,160 reads (245,080,420 bp)
  66,285 reads (245,567,320 bp)
  66,406 reads (246,052,866 bp)
  66,531 reads (246,536,775 bp)
  66,658 reads (247,021,324 bp)
  66,786 reads (247,508,076 bp)
  66,910 reads (247,993,030 bp)
  67,045 reads (248,477,659 bp)
  67,174 reads (248,962,803 bp)
  67,306 reads (249,450,640 bp)
  67,443 reads (249,937,795 bp)
  67,585 reads (250,423,019 bp)
  67,733 reads (250,907,787 bp)
  67,847 reads (251,394,255 bp)
  67,983 reads (251,879,089 bp)
  68,105 reads (252,362,959 bp)
  68,230 reads (252,848,347 bp)
  68,348 reads (253,332,186 bp)
  68,497 reads (253,817,466 bp)
  68,616 reads (254,301,994 bp)
  68,773 reads (254,791,161 bp)
  68,905 reads (255,282,686 bp)
  69,019 reads (255,768,317 bp)
  69,165 reads (256,257,662 bp)
  69,314 reads (256,741,878 bp)
  69,426 reads (257,226,179 bp)
  69,562 reads (257,709,947 bp)
  69,685 reads (258,194,147 bp)
  69,816 reads (258,680,981 bp)
  69,948 reads (259,171,967 bp)
  70,083 reads (259,662,867 bp)
  70,203 reads (260,146,680 bp)
  70,342 reads (260,631,939 bp)
  70,475 reads (261,123,409 bp)
  70,599 reads (261,609,540 bp)
  70,730 reads (262,114,472 bp)
  70,872 reads (262,603,127 bp)
  71,008 reads (263,087,675 bp)
  71,138 reads (263,575,939 bp)
  71,250 reads (264,070,464 bp)
  71,370 reads (264,556,646 bp)
  71,472 reads (265,049,345 bp)
  71,594 reads (265,535,566 bp)
  71,743 reads (266,020,174 bp)
  71,858 reads (266,504,554 bp)
  71,976 reads (266,990,827 bp)
  72,098 reads (267,478,952 bp)
  72,229 reads (267,984,705 bp)
  72,367 reads (268,474,683 bp)
  72,486 reads (268,960,168 bp)
  72,601 reads (269,448,740 bp)
  72,721 reads (269,932,844 bp)
  72,856 reads (270,418,400 bp)
  72,997 reads (270,902,856 bp)
  73,132 reads (271,389,075 bp)
  73,251 reads (271,879,473 bp)
  73,385 reads (272,367,077 bp)
  73,496 reads (272,854,091 bp)
  73,626 reads (273,339,443 bp)
  73,754 reads (273,841,952 bp)
  73,873 reads (274,329,061 bp)
  74,014 reads (274,814,920 bp)
  74,144 reads (275,299,841 bp)
  74,263 reads (275,784,602 bp)
  74,386 reads (276,276,174 bp)
  74,499 reads (276,763,947 bp)
  74,624 reads (277,254,029 bp)
  74,742 reads (277,740,127 bp)
  74,871 reads (278,224,372 bp)
  75,011 reads (278,716,049 bp)
  75,120 reads (279,203,579 bp)
  75,258 reads (279,690,147 bp)
  75,391 reads (280,174,121 bp)
  75,509 reads (280,658,751 bp)
  75,629 reads (281,142,415 bp)
  75,763 reads (281,637,566 bp)
  75,867 reads (282,121,609 bp)
  76,001 reads (282,607,275 bp)
  76,127 reads (283,090,904 bp)
  76,240 reads (283,581,584 bp)
  76,349 reads (284,067,847 bp)
  76,480 reads (284,556,757 bp)
  76,599 reads (285,043,110 bp)
  76,732 reads (285,528,593 bp)
  76,854 reads (286,013,171 bp)
  76,988 reads (286,498,815 bp)
  77,112 reads (286,997,206 bp)
  77,251 reads (287,484,843 bp)
  77,358 reads (287,970,647 bp)
  77,475 reads (288,457,959 bp)
  77,588 reads (288,944,200 bp)
  77,741 reads (289,428,932 bp)
  77,840 reads (289,913,132 bp)
  77,956 reads (290,398,212 bp)
  78,085 reads (290,887,909 bp)
  78,216 reads (291,373,543 bp)
  78,340 reads (291,859,138 bp)
  78,462 reads (292,346,045 bp)
  78,583 reads (292,831,501 bp)
  78,703 reads (293,323,315 bp)
  78,837 reads (293,809,274 bp)
  78,960 reads (294,297,979 bp)
  79,100 reads (294,781,963 bp)
  79,237 reads (295,269,021 bp)
  79,357 reads (295,764,569 bp)
  79,481 reads (296,255,012 bp)
  79,610 reads (296,738,814 bp)
  79,728 reads (297,224,583 bp)
